sample-id	forward-absolute-filepath	reverse-absolute-filepath	Sample_NamesR	AV_Numbers	Month	Year	Temp_C	Salinity	Chlorophyll_ugL	Season	SimpleSeason	Filt
AV12-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV12-18S_S1_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV12-18S_S1_L001_R2_001.fastq.gz	AV12_Jan_2018	AV180126	January	2018	12.6	33.4	NA	Winter Storms	Winter Storms	prefilt
AV13-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV13-18S_S2_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV13-18S_S2_L001_R2_001.fastq.gz	AV13_Feb_2018	AV180202	February	2018	13.8	33.4	NA	Winter Storms	Winter Storms	prefilt
AV14-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV14-18S_S3_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV14-18S_S3_L001_R2_001.fastq.gz	AV14_Feb_2018	AV180209	February	2018	14.3	33.4	18.916	Winter Storms	Winter Storms	prefilt
AV17-2-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV17-2-18S_S4_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV17-2-18S_S4_L001_R2_001.fastq.gz	AV17_Feb_2018	AV180216	February	2018	13.1	33.4	1.6240000000000001	Winter Storms	Winter Storms	prefilt
AV18-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV18-18S_S5_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV18-18S_S5_L001_R2_001.fastq.gz	AV18_Feb_2018	AV180223	February	2018	12	33.4	1.8180000000000001	Winter Storms	Winter Storms	prefilt
AV19-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV19-18S_S6_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV19-18S_S6_L001_R2_001.fastq.gz	AV19_Mar_2018	AV180302	March	2018	11.5	33.299999999999997	1.113	Winter Storms	Winter Storms	prefilt
AV22-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV22-18S_S7_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV22-18S_S7_L001_R2_001.fastq.gz	AV22_Mar_2018	AV180309	March	2018	12.72	33.4	7.3380000000000001	Upwelling Transition	Peak Upwelling	prefilt
AV26-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV26-18S_S8_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV26-18S_S8_L001_R2_001.fastq.gz	AV26_Apr_2018	AV180413	April	2018	10.6	33.700000000000003	0.65200000000000002	Peak Upwelling	Peak Upwelling	prefilt
AV32-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV32-18S_S9_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV32-18S_S9_L001_R2_001.fastq.gz	AV32_Apr_2018	AV180427	April	2018	12.8	33.700000000000003	1.3939999999999999	Peak Upwelling	Peak Upwelling	prefilt
AV35-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV35-18S_S10_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV35-18S_S10_L001_R2_001.fastq.gz	AV35_May_2018	AV180504	May	2018	12.3	33.700000000000003	2.6150000000000002	Peak Upwelling	Peak Upwelling	prefilt
AV38-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV38-18S_S11_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV38-18S_S11_L001_R2_001.fastq.gz	AV38_May_2018	AV180511	May	2018	12.4	33.700000000000003	2.15	Peak Upwelling	Peak Upwelling	prefilt
AV44-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV44-18S_S12_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV44-18S_S12_L001_R2_001.fastq.gz	AV44_May_2018	AV180525	May	2018	13.1	33.799999999999997	1.5429999999999999	Peak Upwelling	Peak Upwelling	prefilt
AV47-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV47-18S_S13_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV47-18S_S13_L001_R2_001.fastq.gz	AV47_Jun_2018	AV180601	June	2018	12.4	33.700000000000003	3.1819999999999999	Upwelling Transition	Peak Upwelling	prefilt
AV50-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV50-18S_S14_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV50-18S_S14_L001_R2_001.fastq.gz	AV50_Jul_2018	AV180720	July	2018	16.8	33.6	3.15	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV53-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV53-18S_S293_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV53-18S_S293_L001_R2_001.fastq.gz	AV53_Jul_2018	AV180727	July	2018	15.6	33.6	6.4589999999999996	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV56-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV56-18S_S15_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV56-18S_S15_L001_R2_001.fastq.gz	AV56_Aug_2018	AV180803	August	2018	15.6	33.700000000000003	4.1059999999999999	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV59-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV59-18S_S16_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV59-18S_S16_L001_R2_001.fastq.gz	AV59_Aug_2018	AV180810	August	2018	15.2	33.6	13.516	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV66-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV66-18S_S17_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV66-18S_S17_L001_R2_001.fastq.gz	AV66_Aug_2018	AV180824	August	2018	16.899999999999999	33.6	4.8310000000000004	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV69-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV69-18S_S18_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV69-18S_S18_L001_R2_001.fastq.gz	AV69_Sep_2018	AV180928	September	2018	15.8	33.4	155.815	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV72-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV72-18S_S19_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV72-18S_S19_L001_R2_001.fastq.gz	AV72_Oct_2018	AV181005	October	2018	16.600000000000001	33.299999999999997	40.993000000000002	Winter Transition	Upwelling Relaxation	prefilt
AV75-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV75-18S_S20_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV75-18S_S20_L001_R2_001.fastq.gz	AV75_Oct_2018	AV181012	October	2018	15.6	33.299999999999997	76.025000000000006	Winter Transition	Upwelling Relaxation	prefilt
AV78-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV78-18S_S21_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV78-18S_S21_L001_R2_001.fastq.gz	AV78_Oct_2018	AV181026	October	2018	15.4	33.5	4.9219999999999997	Winter Transition	Upwelling Relaxation	prefilt
AV81-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV81-18S_S22_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV81-18S_S22_L001_R2_001.fastq.gz	AV81_Nov_2018	AV181109	November	2018	14.8	33.5	4.2480000000000002	Winter Transition	Winter Storms	prefilt
AV84-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV84-18S_S23_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV84-18S_S23_L001_R2_001.fastq.gz	AV84_Nov_2018	AV181116	November	2018	16.5	33.6	2.077	Winter Transition	Winter Storms	prefilt
AV90-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV90-18S_S24_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/AV90-18S_S24_L001_R2_001.fastq.gz	AV90_Dec_2018	AV181207	December	2018	13.7	33.5	1.117	Winter Storms	Winter Storms	prefilt
NEGPCR18SControl-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/NEGPCR18SControl-18S_S56_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_March2019/NEGPCR18SControl-18S_S56_L001_R2_001.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
