sample-id	forward-absolute-filepath	reverse-absolute-filepath	Sample_NamesR	AV_Numbers	Month	Year	Temp_C	Salinity	Chlorophyll_ugL	Season	SimpleSeason	Filt
AV102-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV102-18S_S108_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV102-18S_S108_L001_R2_001.fastq.gz	AV102_Apr_2019	AV190405	April	2019	14.4	33.4	2.222	Peak Upwelling	Peak Upwelling	prefilt
AV105-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV105-18S_S109_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV105-18S_S109_L001_R2_001.fastq.gz	AV105_Apr_2019	AV190503	May	2019	14.4	33	0.63400000000000001	Peak Upwelling	Peak Upwelling	prefilt
AV108-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV108-18S_S110_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV108-18S_S110_L001_R2_001.fastq.gz	AV108_May_2019	AV190531	May	2019	12.12	33.69	7.7149999999999999	Peak Upwelling	Peak Upwelling	prefilt
AV111-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV111-18S_S111_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV111-18S_S111_L001_R2_001.fastq.gz	AV111_Jul_2019	AV190712	July	2019	16.41	33.729999999999997	NA	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV112-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV112-18S_S112_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV112-18S_S112_L001_R2_001.fastq.gz	AV112_Jul_2019	AV190719	July	2019	13.98	33.78	20.588999999999999	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV115-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV115-18S_S113_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV115-18S_S113_L001_R2_001.fastq.gz	AV115_Aug_2019	AV190802	August	2019	15.89	33.65	NA	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV116-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV116-18S_S114_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV116-18S_S114_L001_R2_001.fastq.gz	AV116_Aug_2019	AV190809	August	2019	14.08	33.72	NA	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV119-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV119-18S_S115_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV119-18S_S115_L001_R2_001.fastq.gz	AV119_Aug_2019	AV190830	August	2019	16.010000000000002	33.65	10.917999999999999	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV122-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV122-18S_S116_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV122-18S_S116_L001_R2_001.fastq.gz	AV122_Sept_2019	AV190927	September	2019	16.510000000000002	33.549999999999997	10.946	Upwelling Relaxation	Upwelling Relaxation	prefilt
AV128-18S	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV128-18S_S117_L001_R1_001.fastq.gz	/home/skhu/slo-pier-comparison-2023/18S_AV_SequencingRawData_May2022/AV128-18S_S117_L001_R2_001.fastq.gz	AV128_Nov_2019	AV191122	November	2019	14.4	33.6	9.3330000000000002	Winter Transition	Winter Storms	prefilt
